N,Threads,Temps_ns
10,1,435400
10,2,652400
10,4,720000
10,8,1047700
10,16,1624300
50,1,225000
50,2,344400
50,4,661500
50,8,1029300
50,16,1501400
100,1,254000
100,2,368200
100,4,670700
100,8,1233600
100,16,1746100
500,1,333000
500,2,371400
500,4,849400
500,8,853100
500,16,1520800
1000,1,224800
1000,2,486900
1000,4,637300
1000,8,1002600
1000,16,1511600
5000,1,295700
5000,2,311300
5000,4,764600
5000,8,1204300
5000,16,1654400
10000,1,242100
10000,2,368500
10000,4,690600
10000,8,1355100
10000,16,1931900
50000,1,622200
50000,2,551200
50000,4,701300
50000,8,1228900
50000,16,2122300
100000,1,751800
100000,2,920800
100000,4,891200
100000,8,1202000
100000,16,2026000
500000,1,3576200
500000,2,2734400
500000,4,2152600
500000,8,1737800
500000,16,2076000
1000000,1,6629600
1000000,2,3826200
1000000,4,3085900
1000000,8,2416900
1000000,16,2679300
3000000,1,15301400
3000000,2,8987300
3000000,4,5433900
3000000,8,5435200
3000000,16,4799100
